product_id,sku,name,current_brand,proposed_brand,match_type,legacy_reference,official_reference,confidence,evidence,reason
"8d840cbd-e7c7-47ab-b748-1ecd2ef1b55e","DU.RV2053-WR80","DUROFIX RV2053-WR80 Angular 8 a 80 Nm 20 - 130rpm Transductor Digital","","","HIGH_CONFIDENCE_NAME_ONLY","","","LOW","el nombre empieza con «DUROFIX» y no hay ninguna referencia que lo confirme","sólo el texto del nombre; NO alcanza para asignar (§9)"
"67e64cac-0f4a-41c4-8d65-2f5da4fd8ee8","EH2-HT60-000NNN-E","ESTIC EH2-HT60-000NNN-E CONTROLLER HANDY2000MICRO","","","HIGH_CONFIDENCE_NAME_ONLY","","","LOW","el nombre empieza con «ESTIC» y no hay ninguna referencia que lo confirme","sólo el texto del nombre; NO alcanza para asignar (§9)"
"4963f4c2-9120-40d4-8b51-5fec0b4243bd","EH2-RA1000-SNL","ESTIC EH2-RA1000-SNL TOOL UNIT 1NM STRAIGHT TYPE LEVER START","","","HIGH_CONFIDENCE_NAME_ONLY","","","LOW","el nombre empieza con «ESTIC» y no hay ninguna referencia que lo confirme","sólo el texto del nombre; NO alcanza para asignar (§9)"
"a1099f75-9673-4faf-99f1-c5f1ba4fb4ff","EIPC5-080RA23-10","ECKERLE EIPC5-080RA23-10 bomba de engranajes de alta presión","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"18c0284d-15b2-4aea-85ce-ce2c82eed39c","ES.SER0501","ESTIC PLACA PROFINET SRE0501","","","HIGH_CONFIDENCE_NAME_ONLY","","","LOW","el nombre empieza con «ESTIC» y no hay ninguna referencia que lo confirme","sólo el texto del nombre; NO alcanza para asignar (§9)"
"9d3a6479-1764-4434-96b3-71f85e14bd03","FAA1800","ARMARIO CON PUERTAS FAMI","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"904fc90b-fbc1-46dc-a66b-ffdff888f389","FAS160100","ARMARIO PORTA PC FAS160100 717x635x1560 AZUL","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"30f302b3-6e2f-4ad3-8db3-829ef970083c","FAS160100 08","ARMARIO PORTA PC FAS160100 08  717x635x1560 GRIS","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"ecfc9d6c-4177-492b-ae31-9bc98484fff2","FAS160113","ARMARIO PORTA PC FAS160113 717x635x1560 AZUL","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"675088d4-f4a6-44f6-9b59-6c5e14313906","FM.E8MCC5A-650","FIAM E8MCC5A-650 - 111712713 -ATORNILLADOR RECTO 0,3 - 5,0 NM 350RPM","","","HIGH_CONFIDENCE_NAME_ONLY","","","LOW","el nombre empieza con «FIAM» y no hay ninguna referencia que lo confirme","sólo el texto del nombre; NO alcanza para asignar (§9)"
"ca911ca6-af01-4bf3-b990-4aac0b74e3dd","FM.REP.BC12_ST","FIAM ARM BC12 SISTEMA TELESCOPICO","","FIAM","EXACT_MATCH_MODEL","erp:referencia-en-nombre=BC12→FI.BC12 · legacy:referencia-en-nombre=BC12→FI.BC12","","HIGH","erp:referencia-en-nombre=BC12→FI.BC12 · legacy:referencia-en-nombre=BC12→FI.BC12","referencia idéntica a la de un producto con esa marca"
"d408a4d1-588e-4306-8ebe-089681959134","GAD.WK88","Handy Gadnic WK88 Bi-Banda 10w 128CH Hasta 12km (2 bateria y Cargado)","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
"8418fd24-f4d0-4815-a6f9-73d55b460f68","GRAMPA.80-4T","GRAMPA 80-4T X 200000 UNI (CAJON)","","","NO_MATCH","","","NONE","","ninguna referencia ni nombre permite identificar marca"
